exam,exam_question_index,module,question_type,passage_or_sentence,question_text,A,B,C,D,correct,explanation
10,33,Craft and Structure,Cross-Text Connections,"Text A pollution causes; Text B effects.","Link?","Cause-effect","Opposition","Unrelated","Support",A,"One causes other."
10,34,Standard English Conventions,Boundaries,"Stop thief!","Comma's role?","Separates address","No effect","Question","Command",A,"Separates vocative."
10,35,Information and Ideas,Inferences,"She wears gloves.","Inference?","Cold weather","Warm weather","Rain","Wind",A,"Cold."
10,36,Expression of Ideas,Transitions,"She sings; moreover, she dances.","Meaning 'moreover'?","Cause","Addition","Contrast","Effect",B,"Adds info."
10,37,Craft and Structure,Words in Context,"The crowd was exuberant.","Meaning?","Sad","Energetic","Quiet","Angry",B,"Very lively."
10,38,Standard English Conventions,Form Structure and Sense,"Everyone has ideas.","Verb?","Has","Have","Had","Having",A,"Singular."
10,39,Information and Ideas,Command of Evidence,"Data shows smoking decline.","Which?","Increase","Decrease","Same","Unknown",B,"Decreased."
10,40,Expression of Ideas,Rhetorical Synthesis,"Passage compares politicians.","Device?","Comparison","Contrast","Narration","Description",A,"Similarity & difference."
10,41,Craft and Structure,Text Structure and Purpose,"Article weighs diet pros and cons.","Purpose?","Inform","Entertain","Confuse","Persuade",A,"Balanced."
10,42,Standard English Conventions,Boundaries,"After game players cheered.","Correct?","After the game, players cheered.","After game players cheered.","After game, players cheered.","After the game players cheered.",A,"Structure."
10,43,Information and Ideas,Central Idea,"Text warns about texting while driving.","Main idea?","Safe texting","Risky texting","Fun texting","Need texting",B,"Warns risk."
10,44,Expression of Ideas,Transitions,"Though tired, continued.","Meaning?","Addition","Contrast","Cause","Result",B,"Contrast."
10,45,Craft and Structure,Words in Context,"Her speech was eloquent.","'Eloquent'?","Unclear","Persuasive","Quiet","Long",B,"Clear."
10,46,Standard English Conventions,Form Structure and Sense,"Team wins game.","Verb?","Wins","Win","Won","Winning",A,"Singular."
10,47,Information and Ideas,Command of Evidence,"Exercise lowers blood pressure.","Supports?","True","False","Unknown","None",A,"Benefit."
10,48,Expression of Ideas,Rhetorical Synthesis,"Passage contrasts city and rural life.","Device?","Contrast","Compare","Narrate","Describe",A,"Differences."
10,49,Craft and Structure,Cross-Text Connections,"Text A pollution causes; Text B effects.","Relationship?","Unrelated","Cause-effect","Opposing","Support",B,"Cause."
10,50,Standard English Conventions,Boundaries,"Sit down Sam.","Correction?","Sit down, Sam.","Sit down Sam.","Sit, down Sam.","Sit down, Sam",A,"Vocative."
10,51,Craft and Structure,Words in Context,"Ruins were majestic.","Meaning?","Small","Grand","Ugly","Confusing",B,"Impressive."
10,52,Standard English Conventions,Form Structure and Sense,"List is on table.","Verb?","Is","Are","Was","Were",A,"Singular."
10,53,Information and Ideas,Central Idea,"Passage promotes water conservation.","Main idea?","Water unlimited.","Conservation important.","Water cheap.","Water clean.",B,"Focus."
10,54,Expression of Ideas,Transitions,"He failed; therefore, studied hard.","Meaning?","Cause","Effect","Addition","Contrast",B,"Result."
11,1,Craft and Structure,Words in Context,"The alacrity with which she answered reflected her profound comprehension.","What does 'alacrity' mean in this context?","Hesitation","Eagerness","Confusion","Indifference",B,"'Alacrity' means cheerful readiness or eagerness."
11,2,Standard English Conventions,Boundaries,"Neither the students nor the teacher have decided on the topic.","Which correction is necessary?","Have","Has","Had","Having",B,"Singular subject requires singular verb."
11,3,Information and Ideas,Command of Evidence,"The passage argues that anthropogenic activities significantly accelerate climate change.","Which part provides the strongest support?","Natural fluctuations in climate","Human-driven emissions of greenhouse gases","Volcanic activity","Solar radiation",B,"Directly attributes climate change to human activity."
11,4,Expression of Ideas,Transitions,"Despite extensive evidence, the hypothesis remains unproven.","What is the function of 'Despite' here?","To introduce a contrast","To add information","To emphasize a point","To conclude",A,"Indicates contrast between evidence and outcome."
11,5,Craft and Structure,Text Structure and Purpose,"The essay begins with an anecdote before delving into broader environmental issues.","Why does the author use this structure?","To confuse readers","To provide a relatable entry point","To summarize facts","To build suspense",B,"Anecdotes engage readers by personalizing the topic."
11,6,Standard English Conventions,Form Structure and Sense,"Each of the committee members are expected to attend.","Which correction is appropriate?","Is","Are","Was","Were",A,"Singular subject 'Each' takes singular verb 'is.'"
11,7,Information and Ideas,Central Idea,"The passage posits that renewable energy adoption is essential for sustainable development.","What is the central thesis?","Renewables are costly.","Renewables are essential for sustainability.","Renewables harm the environment.","Fossil fuels are cleaner.",B,"The main argument supports sustainability."
11,8,Expression of Ideas,Rhetorical Synthesis,"The author contrasts differing perspectives on urbanization's impact on society.","What rhetorical technique is employed?","Narration","Comparison","Description","Persuasion",B,"Comparison highlights divergent viewpoints."
11,9,Craft and Structure,Cross-Text Connections,"One article focuses on deforestation causes; another on its socio-economic effects.","What connection is established?","Contrasting themes","Complementary insights","Irrelevant topics","Conflicting claims",B,"Both address facets of the deforestation issue."
11,10,Standard English Conventions,Boundaries,"Let's eat Grandma before she leaves!","How does punctuation change interpretation?","Invitation to eat Grandma","Eating Grandma before she leaves","Ambiguous","Comedic effect",B,"Placement of commas alters sentence meaning."
11,11,Information and Ideas,Inferences,"The protagonist hesitated before entering the ominous mansion.","What can be inferred about the protagonist?","He is fearless.","He feels apprehensive.","He is indifferent.","He is excited.",B,"Hesitation conveys fear or uncertainty."
11,12,Expression of Ideas,Transitions,"While the data appears conclusive, further studies are warranted.","What does 'While' indicate?","Cause","Addition","Contrast","Summary",C,"It introduces a contrasting idea."
11,13,Craft and Structure,Words in Context,"The rhetorical flourish captivated the audience's attention.","What does 'rhetorical flourish' imply?","A simple statement","An ornamental phrase","A factual error","A question",B,"Suggests elaborate language."
11,14,Standard English Conventions,Form Structure and Sense,"Neither the architect nor the engineers was late.","Which verb is correct?","Was","Were","Is","Are",A,"Either/or structure takes singular verb."
11,15,Information and Ideas,Command of Evidence,"Climate models predict rising sea levels due to polar ice melt.","Which supports this claim?","Stable temperatures in the arctic.","Melting polar ice caps.","Increased rainfall.","Solar flares.",B,"Direct evidence of ice melt."
11,16,Expression of Ideas,Rhetorical Synthesis,"The author juxtaposes traditional farming with modern agricultural techniques.","What is the purpose?","To narrate","To compare and contrast","To criticize","To confuse",B,"Juxtaposition highlights differences."
11,17,Craft and Structure,Text Structure and Purpose,"The article organizes content by problem, then solutions.","Why?","To entertain","To mislead","To clarify","To summarize",C,"Helps reader follow logical progression."
11,18,Standard English Conventions,Boundaries,"Having completed their tasks, the workers rested.","What is the role of the comma?","Separates clauses","Ends the sentence","Separates items","Shows emphasis",A,"Comma sets off introductory clause."
11,19,Information and Ideas,Central Idea,"The passage emphasizes the need for legislative action on pollution.","What is the main argument?","Pollution is natural.","Legislation is necessary.","Pollution is negligible.","Pollution helps economy.",B,"Calls for legal intervention."
11,20,Expression of Ideas,Transitions,"Notwithstanding the challenges, progress was made.","What does 'Notwithstanding' signify?","Cause","Contrast","Addition","Summary",B,"Indicates contrast."
11,21,Craft and Structure,Words in Context,"Her perspicacity allowed her to detect subtle inconsistencies.","What does 'perspicacity' mean?","Wisdom","Clumsiness","Ignorance","Creativity",A,"Means keen insight."
11,22,Standard English Conventions,Form Structure and Sense,"Each of the books have been catalogued.","Correct verb?","Has","Have","Had","Having",A,"Singular subject requires singular verb."
11,23,Information and Ideas,Command of Evidence,"Empirical studies show a correlation between education levels and income.","Which best supports this?","Income is unrelated to education.","Higher education tends to increase income.","Education decreases with income.","Income is constant.",B,"Evidence of correlation."
11,24,Expression of Ideas,Rhetorical Synthesis,"The essay synthesizes multiple sources to argue for renewable energy.","What does this indicate?","Bias","Narrative","Integration of viewpoints","Summary",C,"Combines perspectives."
11,25,Craft and Structure,Cross-Text Connections,"One text focuses on marine biodiversity; another on ocean pollution.","What relation?","Opposition","Complement","Unrelated","Contradiction",B,"Pollution impacts biodiversity."
11,26,Standard English Conventions,Boundaries,"Let's eat kids!","What is the effect of missing punctuation?","Calls kids to eat","Suggests cannibalism","Humor","No change",B,"Missing comma alters meaning."
11,27,Information and Ideas,Inferences,"He gingerly stepped onto the creaking staircase.","What does this imply?","Casual walking","Careful movement","Running","Jumping",B,"'Gingerly' suggests carefulness."
11,28,Expression of Ideas,Transitions,"The experiment was inconclusive; nevertheless, it provided valuable data.","Meaning of 'nevertheless'?","Addition","Contrast","Cause","Result",B,"Indicates contrast."
11,29,Craft and Structure,Words in Context,"The protagonist's odyssey was fraught with peril and discovery.","What does 'fraught' imply?","Filled with","Empty","Abandoned","Clean",A,"Means filled or laden."
11,30,Standard English Conventions,Form Structure and Sense,"Neither the CEO nor the board members was accountable.","Which verb is appropriate?","Was","Were","Is","Are",B,"Plural subject takes plural verb."
11,31,Information and Ideas,Command of Evidence,"Scientific measurements confirm global temperature rise.","Which supports?","Stable temperatures.","Increasing temperatures.","Decreasing temperatures.","Variable temperatures.",B,"Direct evidence."
11,32,Expression of Ideas,Rhetorical Synthesis,"The article presents balanced views on climate change solutions.","What is this technique?","Argument","Narrative","Balanced analysis","Description",C,"Presents multiple views."
11,33,Craft and Structure,Cross-Text Connections,"One passage discusses economic impact of climate change; another focuses on environmental degradation.","Relation?","Cause-effect","Opposition","Unrelated","Agreement",A,"Different angles of same issue."
11,34,Standard English Conventions,Boundaries,"Stop thief!","Role of comma?","Vocative","Punctuation","Command","Question",A,"Separates vocative."
11,35,Information and Ideas,Inferences,"The scientist donned a lab coat and gloves.","Inference?","Preparation for experiment","Casual activity","Sleeping","Eating",A,"Lab gear indicates preparation."
11,36,Expression of Ideas,Transitions,"She excels academically; moreover, she volunteers extensively.","Effect of 'moreover'?","Cause","Addition","Contrast","Result",B,"Adds supporting info."
11,37,Craft and Structure,Words in Context,"His candor impressed the committee.","Meaning of 'candor'?","Dishonesty","Frankness","Shyness","Anger",B,"Being open and honest."
11,38,Standard English Conventions,Form Structure and Sense,"Every participant have signed the form.","Correct?","Has","Have","Had","Having",A,"Singular subject 'Every participant' requires 'has.'"
11,39,Information and Ideas,Command of Evidence,"Data from surveys indicate increased recycling awareness.","Supporting statement?","Awareness decreasing.","Awareness increasing.","No change.","Unknown.",B,"Indicates increase."
11,40,Expression of Ideas,Rhetorical Synthesis,"The passage contrasts benefits of urban growth versus preservation.","What is purpose?","Contrast","Comparison","Narration","Description",A,"Highlights differing viewpoints."
11,41,Craft and Structure,Text Structure and Purpose,"The essay organizes arguments by chronology.","Purpose?","Inform","Entertain","Persuade","Confuse",A,"Chronological order clarifies points."
11,42,Standard English Conventions,Boundaries,"After dinner the family watched a movie.","Best revision?","After dinner, the family watched a movie.","After dinner the family watched a movie.","After dinner; the family watched a movie.","After dinner: the family watched a movie.",A,"Comma clarifies."
11,43,Information and Ideas,Central Idea,"The article advocates conservation of natural resources.","Central focus?","Conservation unimportant.","Conservation vital.","Resources unlimited.","Conservation expensive.",B,"Favors resource preservation."
11,44,Expression of Ideas,Transitions,"Although fatigued, she completed the task.","What does 'although' imply?","Addition","Contrast","Cause","Result",B,"Shows contrast."
11,45,Craft and Structure,Words in Context,"The synopsis captured the novel's essence.","Meaning of 'synopsis'?","Summary","Introduction","Chapter","Review",A,"Brief summary."
11,46,Standard English Conventions,Form Structure and Sense,"The team are excited.","Verb choice?","Is","Are","Was","Were",A,"Singular collective noun needs singular verb."
11,47,Information and Ideas,Command of Evidence,"Satellite images show deforestation.","Which sentence supports?","Deforestation increasing.","Deforestation decreasing.","Deforestation stable.","Unknown.",A,"Images indicate increase."
11,48,Expression of Ideas,Rhetorical Synthesis,"The text synthesizes multiple research findings.","Method?","Narrative","Synthesis","Description","Argument",B,"Combines sources."
11,49,Craft and Structure,Cross-Text Connections,"Text A economic effects; Text B social effects.","Relation?","Opposing","Complementary","Unrelated","Conflicting",B,"Both effects of economic change."
11,50,Standard English Conventions,Boundaries,"Excuse me, sir!","Comma use?","Pause and address","No use","Question","Exclamation",A,"Separates vocative."
11,51,Craft and Structure,Words in Context,"The eloquent speaker captivated the audience.","Meaning of 'eloquent'?","Unclear","Persuasive","Quiet","Monotonous",B,"Effective speaker."
11,52,Standard English Conventions,Form Structure and Sense,"Each of the students arrive on time.","Correction?","Arrives","Arrive","Arrived","Arriving",A,"Singular subject requires singular verb."
11,53,Information and Ideas,Central Idea,"The passage discusses climate change mitigation strategies.","Main idea?","Denial of climate change.","Actions to reduce impact.","Ignore climate change.","Climate change benefits.",B,"Focus on solutions."
11,54,Expression of Ideas,Transitions,"He studied extensively; thus, excelled.","Meaning?","Cause","Effect","Addition","Contrast",B,"Shows consequence."
12,1,Craft and Structure,Words in Context,"Her peregrination across multiple continents was both arduous and enriching.","What does 'peregrination' mean?","Traveling long distances","Cooking meals","Making mistakes","Learning quickly",A,"'Peregrination' means a long journey."
12,2,Standard English Conventions,Boundaries,"Neither the data nor the conclusions were reliable.","What correction is needed?","Were","Was","Is","Are",A,"Compound subjects joined by 'nor' take plural verb when the subject closest to the verb is plural."
12,3,Information and Ideas,Command of Evidence,"The passage argues that deforestation increases carbon emissions.","Which sentence supports this claim?","Deforestation reduces trees.","Trees absorb carbon dioxide.","Carbon emissions caused by burning fossil fuels.","Deforestation leads to more carbon emissions.",D,"Directly supports claim about emissions increase."
12,4,Expression of Ideas,Transitions,"Despite the overwhelming evidence, the theory remains controversial.","What is the function of 'Despite'?","Cause","Contrast","Addition","Result",B,"Introduces a contrast."
12,5,Craft and Structure,Text Structure and Purpose,"The author juxtaposes perspectives to highlight the complexity of climate change.","What is the purpose of juxtaposing perspectives?","To present simple facts","To entertain","To emphasize complexity","To confuse",C,"Encourages deep understanding."
12,6,Standard English Conventions,Form Structure and Sense,"Each of the articles have been carefully reviewed.","What is the correct verb?","Has","Have","Had","Having",A,"Singular subject requires singular verb."
12,7,Information and Ideas,Central Idea,"The passage emphasizes the urgency of addressing water scarcity.","What is the central message?","Water is abundant.","Water scarcity is critical.","Water is cheap.","Water pollution is minimal.",B,"Focuses on water scarcity."
12,8,Expression of Ideas,Rhetorical Synthesis,"The author synthesizes scientific data and personal anecdotes to argue for climate action.","What does this synthesis achieve?","Shows bias","Builds credibility","Confuses reader","Adds repetition",B,"Combines evidence and stories to persuade."
12,9,Craft and Structure,Cross-Text Connections,"One passage discusses agricultural declines; the other economic impacts.","What is their relationship?","Opposition","Complementarity","Irrelevance","Conflicting",B,"Different facets of similar topic."
12,10,Standard English Conventions,Boundaries,"Lets eat, mom!","How does punctuation affect meaning?","Inviting mom to eat","Eating mom","No effect","Confusing",A,"Comma clarifies meaning."
12,11,Information and Ideas,Inferences,"The protagonist carefully analyzed the cryptic message.","What can be inferred?","The message was simple.","The message was confusing.","The message was ignored.","The message was lost.",B,"Cryptic indicates complexity."
12,12,Expression of Ideas,Transitions,"Although the evidence was scant, the hypothesis was accepted.","What does 'Although' indicate?","Cause","Addition","Contrast","Effect",C,"Introduces contrast."
12,13,Craft and Structure,Words in Context,"The orator’s eloquence captivated the audience.","What does 'eloquence' mean?","Inability to speak","Fluent and persuasive speech","Nervousness","Monotone voice",B,"Effective and persuasive speaking."
12,14,Standard English Conventions,Form Structure and Sense,"Neither the lawyer nor the witnesses was present.","Which verb is correct?","Was","Were","Is","Are",A,"Singular verb agrees with closest singular subject."
12,15,Information and Ideas,Command of Evidence,"Satellite images show rapid glacier melting.","Which sentence supports this?","Glaciers are stable.","Glaciers are melting quickly.","Glaciers are growing.","Glaciers are invisible.",B,"Confirms melting."
12,16,Expression of Ideas,Rhetorical Synthesis,"The texts contrast urban expansion and green space preservation.","What rhetorical method is used?","Narration","Comparison","Description","Argument",B,"Emphasizes contrasting issues."
12,17,Craft and Structure,Text Structure and Purpose,"The article structures information by cause and effect.","Why is this effective?","Clarifies relationship","Creates confusion","Lengthens reading","Repeats information",A,"Facilitates understanding."
12,18,Standard English Conventions,Boundaries,"Having explored the cave, the researchers documented the findings.","What is the role of the comma?","Separates ideas","Ends sentence","Links clauses","Adds emphasis",A,"Separates introductory clause."
12,19,Information and Ideas,Central Idea,"The passage highlights renewable energy’s role in reducing emissions.","Central thesis?","Renewables increase emissions.","Renewables reduce emissions.","Renewables have no effect.","Renewables are costly.",B,"Focuses on emission reduction."
12,20,Expression of Ideas,Transitions,"Notwithstanding the initial setbacks, the project succeeded.","What does 'Notwithstanding' imply?","Addition","Contrast","Cause","Summary",B,"Shows despite setbacks."
12,21,Craft and Structure,Words in Context,"Her sagacity was evident in her decisions.","What does 'sagacity' mean?","Ignorance","Wisdom","Recklessness","Humor",B,"Refers to wisdom."
12,22,Standard English Conventions,Form Structure and Sense,"Each of the testimonies were inconsistent.","What is the correct verb?","Was","Were","Is","Are",A,"Singular 'Each' takes singular verb."
12,23,Information and Ideas,Command of Evidence,"Studies correlate education with economic growth.","Which supports this?","Education declines growth.","Education supports growth.","Education harms growth.","Education unrelated.",B,"Confirms positive correlation."
12,24,Expression of Ideas,Rhetorical Synthesis,"The essay integrates expert interviews and statistical data.","What is the effect of integration?","Adds bias","Enhances argument","Causes distraction","Narrows scope",B,"Strengthens credibility."
12,25,Craft and Structure,Cross-Text Connections,"One article examines soil degradation; the other, conservation efforts.","Relationship?","Opposition","Complementary","Unrelated","Contradictory",B,"Different perspectives on same issue."
12,26,Standard English Conventions,Boundaries,"Let's eat, Dad!","How does the comma function?","Separates vocative","No effect","Creates question","Adds oxymoron",A,"Indicates address."
12,27,Information and Ideas,Inferences,"The scientist donned gloves and a mask.","What can be inferred?","Preparing for a hazardous environment","Going for a walk","Cooking dinner","Taking a nap",A,"Suggests safety measures."
12,28,Expression of Ideas,Transitions,"The data was flawed; consequently, conclusions were questioned.","Meaning of 'consequently'?","Cause","Effect","Addition","Contrast",B,"Indicates result."
12,29,Craft and Structure,Words in Context,"The voyage was treacherous and fraught with danger.","What does 'fraught' mean?","Full of","Empty","Simple","Clear",A,"Full of difficulties."
12,30,Standard English Conventions,Form Structure and Sense,"Neither the senator nor the aides were available.","Which verb is suitable?","Was","Were","Is","Are",B,"Plural verb matches closer plural subject."
12,31,Information and Ideas,Command of Evidence,"Environmental reports note declining biodiversity.","Which supports this?","More species found.","Fewer species found.","Same species count.","Unknown.",B,"Notes decrease."
12,32,Expression of Ideas,Rhetorical Synthesis,"Texts contrast the benefits of urban sprawl with walkable cities.","What strategy is used?","Narration","Comparison","Description","Argument",B,"Highlights differences."
12,33,Craft and Structure,Cross-Text Connections,"One text covers pollution; the other its impact on health.","Connection?","Direct cause-effect","No relation","Opposition","Support",A,"Directly linked."
12,34,Standard English Conventions,Boundaries,"Stop thief!","What is the effect of comma?","Marks vocative","Changes meaning","No effect","Question",A,"Separates address."
12,35,Information and Ideas,Inferences,"The engineer reviewed blueprints meticulously.","What can be inferred?","Careful planning","Careless work","Ignorance","Speed work",A,"Meticulous review implies care."
12,36,Expression of Ideas,Transitions,"She pursues research passionately; furthermore, she mentors students.","Effect of 'furthermore'?","Cause","Addition","Contrast","Conclusion",B,"Adds information."
12,37,Craft and Structure,Words in Context,"His magnanimity was admired by many.","What does 'magnanimity' mean?","Generosity","Selfishness","Anger","Greed",A,"Refers to generosity."
12,38,Standard English Conventions,Form Structure and Sense,"Every member of the committee have voted.","Correct verb?","Has","Have","Had","Having",A,"Singular subject requires singular verb."
12,39,Information and Ideas,Command of Evidence,"Reports show increased use of public transportation.","Which supports this?","Less public transit used.","More public transit used.","No change.","Unknown.",B,"Indicates growth."
12,40,Expression of Ideas,Rhetorical Synthesis,"The article balances economic growth with environmental protection.","What strategy is used?","Balanced","Biased","Narrative","Description",A,"Two viewpoints presented."
12,41,Craft and Structure,Text Structure and Purpose,"The essay sequences arguments logically.","Purpose?","To inform","To confuse","To entertain","To argue",A,"Logical structure aids understanding."
12,42,Standard English Conventions,Boundaries,"After work the team celebrated.","Which revision is correct?","After work, the team celebrated.","After work the team celebrated.","After work; the team celebrated.","After work: the team celebrated.",A,"Comma clarifies."
12,43,Information and Ideas,Central Idea,"The passage advocates renewable resource use.","Main point?","Resources finite.","Renewables essential.","Resources cheap.","Renewables harmful.",B,"Supports renewables."
12,44,Expression of Ideas,Transitions,"Although tired, he persisted.","What does 'although' signify?","Cause","Addition","Contrast","Effect",C,"Introduces contrast."
12,45,Craft and Structure,Words in Context,"The scholar’s erudition was evident.","What does 'erudition' mean?","Ignorance","Learning","Confusion","Trickery",B,"Refers to knowledge."
12,46,Standard English Conventions,Form Structure and Sense,"The group of students is large.","Correct verb?","Is","Are","Was","Were",A,"Singular collective noun."
12,47,Information and Ideas,Command of Evidence,"Data indicates rising temperatures globally.","Which supports?","Temperatures stable.","Temperatures rising.","Temperatures falling.","Unknown.",B,"Indicates increase."
12,48,Expression of Ideas,Rhetorical Synthesis,"The passage contrasts urban growth and environmental protection.","What rhetorical device?","Contrast","Comparison","Narration","Description",A,"Shows opposing views."
12,49,Craft and Structure,Cross-Text Connections,"Text A covers economic impacts; Text B social consequences.","Relationship?","Opposed","Linked","Irrelevant","Conflicting",B,"Related aspects."
12,50,Standard English Conventions,Boundaries,"Excuse me, sir!","Comma purpose?","Vocative separation","No effect","Pause","Emphasis",A,"Separates direct address."
12,51,Craft and Structure,Words in Context,"The poem was metaphorical.","What does 'metaphorical' mean?","Literal","Symbolic","Factual","Confusing",B,"Uses symbolism."
12,52,Standard English Conventions,Form Structure and Sense,"Each of the applicants has arrived.","Correct verb?","Has","Have","Had","Having",A,"Singular subject."
12,53,Information and Ideas,Central Idea,"The passage discusses mitigation strategies for climate change.","Main argument?","Ignore climate change.","Mitigate climate change.","Climate change inevitable.","Climate change beneficial.",B,"Focus on mitigation."
12,54,Expression of Ideas,Transitions,"He prepared extensively; hence, succeeded.","Meaning?","Cause","Effect","Addition","Contrast",B,"Result shown."

